time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-05T12:52:00.000000,ftx,SOL/USD,90.48,35.125,35.1225,128.09
2022-11-05T12:53:00.000000,ftx,SOL/USD,13.53,35.1075,35.105,258.47
2022-11-05T12:54:00.000000,ftx,SOL/USD,4870.88,35.1,35.0975,428.69
2022-11-05T12:55:00.000000,ftx,SOL/USD,35.44,35.0775,35.075,20.55
2022-11-05T12:56:00.000000,ftx,SOL/USD,92.55,35.0225,35.02,3.54
2022-11-05T12:57:00.000000,ftx,SOL/USD,0.08,34.9525,34.95,95.95
2022-11-05T12:58:00.000000,ftx,SOL/USD,0.04,34.9475,34.945,106.16
2022-11-05T12:59:00.000000,ftx,SOL/USD,0.02,34.9075,34.9025,0.02
2022-11-05T13:00:00.000000,ftx,SOL/USD,10.0,34.9225,34.92,10.02
2022-11-05T13:01:00.000000,ftx,SOL/USD,0.05,34.96,34.9575,10.0
2022-11-05T13:02:00.000000,ftx,SOL/USD,9.56,34.9525,34.95,189.28
2022-11-05T13:03:00.000000,ftx,SOL/USD,10.04,34.98,34.9775,352.96
2022-11-05T13:04:00.000000,ftx,SOL/USD,153.91,34.98,34.9775,8.57
2022-11-05T13:05:00.000000,ftx,SOL/USD,10.01,34.9,34.8975,127.87
2022-11-05T13:06:00.000000,ftx,SOL/USD,352.13,34.8975,34.8925,0.04
2022-11-05T13:07:00.000000,ftx,SOL/USD,0.02,34.895,34.8925,0.02
2022-11-05T13:08:00.000000,ftx,SOL/USD,10.0,34.905,34.9025,75.06
2022-11-05T13:09:00.000000,ftx,SOL/USD,68.77,34.885,34.8825,0.02
2022-11-05T13:10:00.000000,ftx,SOL/USD,419.58,34.91,34.9075,10.04
2022-11-05T13:11:00.000000,ftx,SOL/USD,129.02,34.9475,34.945,32.02
2022-11-05T13:12:00.000000,ftx,SOL/USD,89.54,34.9575,34.955,84.97
2022-11-05T13:13:00.000000,ftx,SOL/USD,513.3,34.9025,34.9,2195.93
2022-11-05T13:14:00.000000,ftx,SOL/USD,811.89,34.9025,34.9,585.91
2022-11-05T13:15:00.000000,ftx,SOL/USD,6.47,34.9125,34.91,308.56
2022-11-05T13:16:00.000000,ftx,SOL/USD,10.0,34.915,34.9125,411.43
2022-11-05T13:17:00.000000,ftx,SOL/USD,293.42,34.865,34.8575,10.0
2022-11-05T13:18:00.000000,ftx,SOL/USD,436.46,34.945,34.9425,0.07
2022-11-05T13:19:00.000000,ftx,SOL/USD,1.06,34.925,34.9225,154.51
2022-11-05T13:20:00.000000,ftx,SOL/USD,0.19,34.97,34.9675,146.43
2022-11-05T13:21:00.000000,ftx,SOL/USD,84.4,34.92,34.9175,10.0
2022-11-05T13:22:00.000000,ftx,SOL/USD,0.01,34.9275,34.925,188.82
2022-11-05T13:23:00.000000,ftx,SOL/USD,10.0,34.8725,34.87,163.46
2022-11-05T13:24:00.000000,ftx,SOL/USD,0.02,34.8025,34.8,103.02
2022-11-05T13:25:00.000000,ftx,SOL/USD,73.03,34.7925,34.79,8.81
2022-11-05T13:26:00.000000,ftx,SOL/USD,77.96,34.7475,34.745,72.72
2022-11-05T13:27:00.000000,ftx,SOL/USD,17.02,34.6625,34.66,64.09
2022-11-05T13:28:00.000000,ftx,SOL/USD,2.03,34.66,34.6575,10.0
2022-11-05T13:29:00.000000,ftx,SOL/USD,10.0,34.565,34.5625,1.61
2022-11-05T13:30:00.000000,ftx,SOL/USD,105.95,34.6575,34.655,191.41
2022-11-05T13:31:00.000000,ftx,SOL/USD,10.0,34.7,34.6975,0.1
2022-11-05T13:32:00.000000,ftx,SOL/USD,10.02,34.7425,34.74,8.65
2022-11-05T13:33:00.000000,ftx,SOL/USD,10.0,34.76,34.7575,8.67
2022-11-05T13:34:00.000000,ftx,SOL/USD,0.04,34.815,34.8125,95.95
2022-11-05T13:35:00.000000,ftx,SOL/USD,153.83,34.7525,34.7475,0.02
2022-11-05T13:36:00.000000,ftx,SOL/USD,92.67,34.7625,34.76,10.0
2022-11-05T13:37:00.000000,ftx,SOL/USD,208.97,34.74,34.735,10.02
2022-11-05T13:38:00.000000,ftx,SOL/USD,1.02,34.7225,34.72,75.0
2022-11-05T13:39:00.000000,ftx,SOL/USD,0.07,34.77,34.7675,7.12
2022-11-05T13:40:00.000000,ftx,SOL/USD,0.03,34.7325,34.73,65.42
2022-11-05T13:41:00.000000,ftx,SOL/USD,54.56,34.7025,34.6975,0.02
2022-11-05T13:42:00.000000,ftx,SOL/USD,0.02,34.7425,34.74,332.32
2022-11-05T13:43:00.000000,ftx,SOL/USD,6.29,34.7,34.6925,99.57
2022-11-05T13:44:00.000000,ftx,SOL/USD,67.27,34.705,34.7025,10.0
2022-11-05T13:45:00.000000,ftx,SOL/USD,8.51,34.6875,34.685,8.67
2022-11-05T13:46:00.000000,ftx,SOL/USD,2.21,34.6525,34.65,312.66
2022-11-05T13:47:00.000000,ftx,SOL/USD,0.04,34.6875,34.685,230.29
2022-11-05T13:48:00.000000,ftx,SOL/USD,209.01,34.7425,34.735,200.16
2022-11-05T13:49:00.000000,ftx,SOL/USD,0.02,34.7475,34.745,65.0
2022-11-05T13:50:00.000000,ftx,SOL/USD,170.34,34.74,34.7275,0.06
2022-11-05T13:51:00.000000,ftx,SOL/USD,1.25,34.7525,34.75,0.02
2022-11-05T13:52:00.000000,ftx,SOL/USD,4.95,34.78,34.7775,303.78
2022-11-05T13:53:00.000000,ftx,SOL/USD,2.04,34.77,34.7675,488.64
2022-11-05T13:54:00.000000,ftx,SOL/USD,15.05,34.7625,34.76,65.42
2022-11-05T13:55:00.000000,ftx,SOL/USD,9.62,34.775,34.7725,581.16
2022-11-05T13:56:00.000000,ftx,SOL/USD,7.61,34.7625,34.76,144.29
2022-11-05T13:57:00.000000,ftx,SOL/USD,4.94,34.7375,34.735,65.06
2022-11-05T13:58:00.000000,ftx,SOL/USD,72.77,34.7125,34.71,0.44
2022-11-05T13:59:00.000000,ftx,SOL/USD,358.64,34.7025,34.7,390.6
2022-11-05T14:00:00.000000,ftx,SOL/USD,6.86,34.74,34.7375,78.65
2022-11-05T14:01:00.000000,ftx,SOL/USD,65.08,34.775,34.7725,239.89
2022-11-05T14:02:00.000000,ftx,SOL/USD,2.65,34.785,34.7825,239.89
2022-11-05T14:03:00.000000,ftx,SOL/USD,7.29,34.7925,34.79,223.93
2022-11-05T14:04:00.000000,ftx,SOL/USD,0.02,34.7875,34.785,65.02
2022-11-05T14:05:00.000000,ftx,SOL/USD,5.76,34.8,34.7975,225.64
2022-11-05T14:06:00.000000,ftx,SOL/USD,5.14,34.785,34.7825,128.33
2022-11-05T14:07:00.000000,ftx,SOL/USD,1.49,34.7825,34.78,73.64
2022-11-05T14:08:00.000000,ftx,SOL/USD,0.02,34.8175,34.815,64.51
2022-11-05T14:09:00.000000,ftx,SOL/USD,68.84,34.85,34.845,8.5
2022-11-05T14:10:00.000000,ftx,SOL/USD,335.4,34.8425,34.84,40.04
2022-11-05T14:11:00.000000,ftx,SOL/USD,283.21,34.8225,34.82,19.46
2022-11-05T14:12:00.000000,ftx,SOL/USD,143.27,34.805,34.8025,0.03
2022-11-05T14:13:00.000000,ftx,SOL/USD,212.96,34.78,34.7775,1.03
2022-11-05T14:14:00.000000,ftx,SOL/USD,35.52,34.7475,34.745,10.0
2022-11-05T14:15:00.000000,ftx,SOL/USD,10.29,34.735,34.7325,253.75
2022-11-05T14:16:00.000000,ftx,SOL/USD,344.42,34.735,34.73,10.05
2022-11-05T14:17:00.000000,ftx,SOL/USD,41.45,34.705,34.7025,20.1
